lat,lon,hour,dayofweek,is_weekend,is_off_hours,km_travelled,km_per_hour,country_changed,resource_changed,device_changed,is_new_device_for_user,is_untrusted_device,mfa_false,result_failure,role_contractor,role_employee,action_login,action_logout,country_IN,country_SG,country_UK,country_US,resource_email,resource_finance_app,resource_hr_portal,resource_vpn,is_anomaly,anomaly_score,pred_is_anomaly
37.77,-122.41,3,4,0,1,0.0,0.0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0.0345870770959843,1
51.5,-0.12,12,4,0,0,8617.413579531496,917.6138454304717,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,-0.08684262521406472,0
51.5,-0.12,12,4,0,0,0.0,0.0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,-0.059247885642740084,0
1.35,103.82,12,4,0,0,10847.683830031903,20000.0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-0.0673281062193416,0
37.77,-122.41,13,4,0,0,13583.243126192969,20000.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,-0.09499269570525726,0
51.5,-0.12,13,4,0,0,8617.413579531496,20000.0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-0.046703277994255776,0
19.07,72.87,13,4,0,0,7191.114210511749,20000.0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,-0.04085937748931556,0
19.07,72.87,13,4,0,0,0.0,0.0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,-0.03244248632693514,0
52.52,13.4,13,4,0,0,6286.49014548584,20000.0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,-0.1141606673802793,0
1.35,103.82,13,4,0,0,9916.835913716,20000.0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.07971007014417841,0
19.07,72.87,14,4,0,0,3904.344923406237,6927.373940001208,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,-0.11300389657656618,0
19.07,72.87,14,4,0,0,0.0,0.0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-0.06344695676965917,0
52.52,13.4,15,4,0,0,6286.49014548584,14350.89697130566,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,-0.04350136567997098,0
51.5,-0.12,15,4,0,0,930.8785347807836,20000.0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,-0.0882392477733559,0
51.5,-0.12,15,4,0,0,0.0,0.0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,-0.004114011058269029,0
37.77,-122.41,16,4,0,0,8617.413579531496,20000.0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-0.029911864376633734,0
19.07,72.87,16,4,0,0,13495.773653008306,20000.0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,-0.08014276230025197,0
52.52,13.4,16,4,0,0,6286.49014548584,17041.690153425472,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.14621522176219126,0
1.35,103.82,16,4,0,0,9916.835913716,20000.0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,-0.08248112352772197,0
1.35,103.82,16,4,0,0,0.0,0.0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,-0.01979370144686654,0
52.52,13.4,16,4,0,0,9916.835913716,20000.0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,-0.1560557501937631,0
51.5,-0.12,16,4,0,0,930.8785347807836,15232.557841867369,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-0.027239012875316937,0
19.07,72.87,16,4,0,0,7191.114210511749,20000.0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,-0.044565215394885005,0
52.52,13.4,16,4,0,0,6286.49014548584,20000.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.1275918950105241,0
1.35,103.82,16,4,0,0,9916.835913716,20000.0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,-0.08128056539112827,0
1.35,103.82,17,4,0,0,0.0,0.0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-0.055301930085572604,0
1.35,103.82,17,4,0,0,0.0,0.0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-0.05108273369574268,0
51.5,-0.12,17,4,0,0,10847.683830031903,20000.0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,-0.09363867185561636,0
37.77,-122.41,17,4,0,0,8617.413579531496,20000.0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,-0.12713135312844376,0
